Review_ID,included_No,Reviewer_ID,EndNote_Index,Pubmed_ID,Year,Article_Name,Review_Date,First_Author,Key_words,Research_Design(Primary Objective),Review/Original,Study_Design_Type,Database/Datasource,Analytic_tool,Country/district ,X,Y,Z,Association_Type,Unit_of_Analysis,Check_List,Mention_Missing_Data,Assessed_Missing_Data,Rate_of_Article,Include_in_Research,Exclusion Reason,Other_Notes,
1,,,3667,31389916,2019,"Assessing the role of urologists and general surgeons in the open repair of bladder injuries: Analysis of a large, statewide trauma database",12/21/20,"Leong, J. Y.","Adolescent
Adult
Aged
Child
Child, Preschool
Databases, Factual
Female
Fractures, Bone/surgery
Humans
Infant
Infant, Newborn
Injury Severity Score
Lacerations/surgery
Length of Stay
Male
Middle Aged
Pelvic Bones/injuries
Pennsylvania
*Physician's Role
Postoperative Complications
Referral and Consultation
Retrospective Studies
*Surgeons
*Trauma Centers
Urinary Bladder/*injuries/*surgery
*Urologists
Young Adults",,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
2,,,7,31553359,2019,Methodological description of clinical research data collection through electronic medical records in a center participating in an international multicenter study,12/21/20,"Queiroz, V. N. F.","Anesthesia, General/standards
Data Accuracy
Electronic Health Records/*standards
Forms and Records Control/*methods
Forms as Topic
Humans
Medical Records Systems, Computerized/*standards
Postoperative Complications
Prospective Studies
Reproducibility of Results
Respiration, Artificial/standards
Robotic Surgical Procedures/standards
Time Factors",,,,,,,,,,,,,,,,,Methodology papers (,,
3,,,1371,31513500,2019,Characteristics of people with pressure ulcers using one year's routinely collected data in a defined diverse community,12/21/20,"Jackson, D.","Adult
Age Distribution
Aged
Documentation
Electronic Health Records/*statistics & numerical data
Female
Humans
Male
Middle Aged
Pressure Ulcer/*epidemiology/pathology/*therapy
Residence Characteristics
Retrospective Studies
*Severity of Illness Index
Sex Distribution
case study
community care
data collection
pressure injury
pressure ulcer
register",To determine if meaningful patient characteristics pertaining to pressure ulcers (PU) can be derived from routinely collected community health data.,Review,,,,,,,,,,,,,,,Review papers ,characteristics paper,
4,,,595,29958736,2019,Impact of an electronic medical record reminder on hepatitis B vaccine initiation and completion rates among insured adults with diabetes mellitus,12/27/20,"Hechter, R. C.","Adult
Advisory Committees
*Diabetes Mellitus
*Electronic Health Records
Female
Hepatitis B/*prevention & control
Hepatitis B Vaccines/*administration & dosage
Humans
Insurance, Health
Male
Middle Aged
*Reminder Systems
Retrospective Studies
Vaccination Coverage/*statistics & numerical data
Young Adult
*Compliance
*Coverage
*Diabetes
*Electronic reminder
*Hepatitis B
*Vaccination",,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
5,1,,3197,31167871,2019,"Trends in the incidence of testing for vitamin D deficiency in primary care in the UK: a retrospective analysis of The Health Improvement Network (THIN), 2005-2015",12/27/20,"Crowe, F. L.","Adult
Aged
Ethnic Groups
Female
Humans
Incidence
Longitudinal Studies
Male
Middle Aged
Prevalence
Primary Health Care/*trends
Retrospective Studies
Social Class
United Kingdom/epidemiology
Vitamin D Deficiency/*diagnosis/epidemiology
*25-hydroxyvitamin D
*deficiency
*primary care
*the health improvement network
*vitamin D", To investigate trends in the incidence of testing for vitamin D deficiency and the prevalence of patients with circulating concentrations of 25-hydroxyvitamin D (25(OH)D) indicative of deficiency (<30 nmol/L) between 2005 and 2015.,Original,retrospective cohort study,The Health Improvement Network (THIN),Stata,UK,patient characteristics,"Incidence of having a blood test
for vitamin D deficiency between 2005 and 2015",,Asosciation,patient,No,"Yes, limitation",No,,Yes,,,
6,,,5260,31068160,2019,"Factors associated with recruitment, surveillance participation, and retention in an observational study of pregnant women and influenza",12/27/20,"Thompson, M. G.","Adult
California
European Continental Ancestry Group/statistics & numerical data
Family Characteristics
Female
Hispanic Americans/statistics & numerical data
Humans
Influenza Vaccines
Influenza, Human/*prevention & control
Oregon
*Patient Selection
*Population Surveillance
Pregnancy
Pregnancy Complications, Infectious/*prevention & control
*Pregnant Women
Prospective Studies
Vaccination/*statistics & numerical data
Young Adult
Acute respiratory illness
Bias
Cohort
Influenza
Influenza vaccine effectiveness
Pregnant women
Retention
Surveillance
ethics approval by each site‚Äôs Institutional Review Board (IRB). Enrolled
participants provided written informed consent and were offered small incentives in
the form of gift cards. The IRBs also provided ethics approval for the secondary
analyses presented here that examined descriptive information of women who could not
be reached or refused recruitment. IRBs approved compiling de-identified data on
non-consented health plan members in accordance with health plan membership rules
local sites then presented in frequency tables with large cell sizes. The Kaiser
Foundation Research Institute Institutional Review Board, the Kaiser Permanente
Northwest Institutional Review Board, and the Abt Associates Insitutional Review
Board approved study instruments, procedures, and written consent documents. Verbal
consent was approved for initial telephone contact and orientation
written consent
was completed before finishing enrollment. Only women who provided written consent
are included as ‚Äúenrolled participants.‚Äù All institutional review boards approved
the use of frequency tables to describe the characteristics of participants refused
to participate in the study or who were never reached. CONSENT FOR PUBLICATION: Not
applicable. COMPETING INTERESTS: The authors declare that they have no competing
interests. PUBLISHER‚ÄôS NOTE: Springer Nature remains neutral with regard to
jurisdictional claims in published maps and institutional affiliations.","describes the results of recruitment efforts and the subsequent participation of pregnant women in study activities in a 2010-2012 observational study focused on influenza illness and vaccination in California and Oregon, ",,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
7,,,4257,30453822,2019,"In-office versus Operating Room Sialendoscopy: Comparison of Outcomes, Patient Time Burden, and Charge Analysis",12/27/20,"Coniglio, A. J.","Adult
Ambulatory Care/economics
Cohort Studies
Cost-Benefit Analysis/*methods
Endoscopy/economics/*methods
Female
Hospital Charges
Humans
Male
Middle Aged
North Carolina
Office Visits/*economics
Operating Rooms/*economics
Retrospective Studies
Risk Assessment
Salivary Gland Calculi/diagnostic imaging/*surgery
Time Factors
*charge analysis
*in-office
*sialendoscopy
*sialoendoscopy
*time",To evaluate outcomes of in-office versus operating room (OR) sialendoscopy/sialolithotomy and to recognize the efficiency of outpatient salivary gland surgery with signif- icant time and facility charge reductions.,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
8,,,5697,31085523,2019,Chronic Opioid Prescribing in Primary Care: Factors and Perspectives,12/27/20,"Tong, S. T.","Analgesics, Opioid/*administration & dosage
*Attitude of Health Personnel
Case-Control Studies
Female
Humans
Male
Practice Patterns, Physicians'/*statistics & numerical data
Primary Health Care/*statistics & numerical data
Qualitative Research
Risk Factors
United States
*opiates
*prescription drugs
*primary care physicians",to describe the patient and clinician characteristics and clinicians’ perspec- tives of chronic opioid prescribing in primary care.,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
9,,,1430,31710641,2019,Initial clinical radiological findings and staging to predict prognosis of primary hepatic angiosarcoma: A retrospective analysis,12/27/20,"Yuan, W. H.","Adult
Aged
Aged, 80 and over
Carcinoma, Hepatocellular/diagnostic imaging/*pathology
Electronic Health Records
Female
Hemangiosarcoma/diagnostic imaging/*pathology
Humans
Liver Neoplasms/diagnostic imaging/*pathology
Male
Middle Aged
Neoplasm Staging
Prognosis
Radiographic Image Interpretation, Computer-Assisted/*methods
Retrospective Studies
Survival Analysis
Tomography, X-Ray Computed",to determine the association of initial clinical- radiological features and staging with outcomes in patients with PHA.,,,,,,,,,,,,,,,,EMR data only used to identify the cohort,imaging research,
10,,,5048,30576975,2019,Hit or a miss: Concordance between histopathologic-endoscopic findings in gastric mucosal biopsies,12/27/20,"Chen, F.","Adult
Aged
*Biopsy
Female
Gastric Mucosa/*pathology
Gastroscopy
Helicobacter Infections/epidemiology/pathology
Humans
Male
Metaplasia/diagnosis
Middle Aged
Precancerous Conditions/epidemiology/pathology
Reproducibility of Results
Retrospective Studies
Stomach/pathology
Endoscopy
Gastric biopsy
Gastritis
Helicobacter pylori
Histopathology
Intestinal Metaplasia",,,,Pathology database,,,,,,,,,,,,,Qualitative data only,Pathology report,
